Date,Open,High,Low,Close,Volume
07/12/2023,"94.11","95.03","92.55","94.00","24,161,381"
07/11/2023,"91.02","92.32","89.01","91.79","20,768,840"
07/10/2023,"90.05","92.04","89.60","90.56","25,401,779"
07/07/2023,"86.76","91.57","86.63","90.55","46,992,152"
07/06/2023,"83.12","83.95","82.64","83.84","12,943,670"
07/05/2023,"83.98","84.69","82.82","84.30","11,203,850"
07/03/2023,"84.87","85.64","84.00","84.07","11,514,390"
06/30/2023,"83.23","84.23","83.01","83.35","12,174,290"
06/29/2023,"83.39","83.99","83.00","83.55","13,362,550"
06/28/2023,"85.75","85.75","84.38","84.59","14,113,820"
06/27/2023,"86.82","87.62","86.72","87.13","13,994,520"
06/26/2023,"85.32","86.71","85.21","85.47","10,808,690"
06/23/2023,"85.81","85.94","84.37","84.92","14,907,130"
06/22/2023,"86.78","87.32","85.32","86.89","10,272,700"
06/21/2023,"87.38","89.16","86.62","86.77","15,159,910"
06/20/2023,"89.83","90.20","87.32","87.93","23,382,869"
06/16/2023,"94.00","94.29","91.52","92.10","25,087,711"
06/15/2023,"91.46","92.77","90.60","92.20","26,570,480"
06/14/2023,"87.97","90.12","87.71","89.36","21,519,340"
06/13/2023,"87.96","89.22","87.25","87.51","16,814,141"
06/12/2023,"86.01","87.29","85.63","85.86","11,575,890"
06/09/2023,"86.06","86.84","85.07","85.50","12,903,410"
06/08/2023,"85.17","86.95","85.17","86.14","11,280,950"
06/07/2023,"85.72","86.95","85.09","85.28","12,886,680"
06/06/2023,"83.50","87.06","83.37","86.70","18,451,961"
06/05/2023,"83.99","84.57","83.24","84.40","9,592,699"
06/02/2023,"85.08","86.03","84.14","84.27","17,616,090"
06/01/2023,"79.35","84.00","79.35","83.00","23,217,609"
05/31/2023,"79.58","79.67","77.77","79.55","16,206,280"
05/30/2023,"80.12","80.70","78.17","78.67","21,209,570"
05/26/2023,"79.90","81.57","78.40","80.97","16,419,961"
05/25/2023,"80.59","80.71","78.12","78.78","21,811,561"
05/24/2023,"82.17","82.60","80.88","81.21","17,045,801"
05/23/2023,"84.16","84.98","82.70","82.88","19,917,789"
05/22/2023,"85.67","87.48","85.65","86.10","16,951,330"
05/19/2023,"83.85","85.20","83.48","83.98","21,571,830"
05/18/2023,"90.81","91.00","85.00","85.77","60,258,609"
05/17/2023,"88.46","91.43","88.01","90.68","27,670,689"
05/16/2023,"87.11","89.37","87.06","88.76","18,177,859"
05/15/2023,"87.13","88.40","85.83","88.34","23,691,180"
05/12/2023,"86.71","86.71","84.76","85.34","19,042,789"
05/11/2023,"85.43","88.48","84.82","87.89","28,104,160"
05/10/2023,"82.14","84.50","81.77","82.95","16,868,061"
05/09/2023,"80.55","82.66","80.15","82.22","13,457,350"
05/08/2023,"83.63","83.70","82.34","83.31","17,392,859"
05/05/2023,"82.75","83.38","82.03","83.22","17,527,619"
05/04/2023,"82.39","83.13","81.80","82.49","23,773,830"
05/03/2023,"81.31","82.00","80.49","81.48","17,759,400"
05/02/2023,"83.15","83.28","80.65","81.53","20,689,480"
05/01/2023,"84.15","85.28","83.77","84.16","12,909,250"
04/28/2023,"84.18","85.08","83.87","84.69","18,109,260"
04/27/2023,"83.07","84.64","82.64","84.47","24,506,830"
04/26/2023,"85.04","85.22","82.76","82.82","24,983,000"
04/25/2023,"85.32","85.70","82.21","82.92","36,441,352"
04/24/2023,"88.40","88.48","86.04","86.89","22,757,090"
04/21/2023,"89.96","90.19","88.30","89.13","23,097,340"
04/20/2023,"93.35","93.79","90.05","90.74","25,533,869"
04/19/2023,"94.60","94.82","92.95","93.49","18,985,230"
04/18/2023,"99.02","99.17","95.18","95.49","20,672,320"
04/17/2023,"96.74","97.23","95.49","96.42","15,714,120"
04/14/2023,"95.63","96.12","93.84","94.55","14,098,700"
04/13/2023,"95.88","97.19","95.10","96.17","24,231,740"
04/12/2023,"97.82","98.89","93.58","93.84","35,516,000"
04/11/2023,"102.46","102.54","99.20","99.76","19,017,680"
04/10/2023,"100.62","102.83","100.59","101.54","16,308,330"
04/06/2023,"98.53","103.24","98.27","102.74","26,849,221"
04/05/2023,"99.24","100.45","97.66","98.55","20,117,750"
04/04/2023,"98.94","101.47","97.26","100.72","26,868,410"
04/03/2023,"100.89","101.75","97.61","98.39","26,888,141"
03/31/2023,"102.86","103.60","101.13","102.18","28,382,580"
03/30/2023,"101.34","105.05","100.50","103.38","57,780,699"
03/29/2023,"97.59","101.33","96.28","99.92","53,695,031"
03/28/2023,"95.35","99.51","92.06","98.40","118,875,203"
03/27/2023,"87.13","88.22","85.50","86.12","18,258,301"
03/24/2023,"85.87","88.11","85.63","86.90","20,349,650"
03/23/2023,"87.68","88.38","85.26","86.52","26,861,430"
03/22/2023,"84.84","85.39","83.51","83.65","21,204,670"
03/21/2023,"82.46","84.09","82.00","83.70","16,529,400"
03/20/2023,"80.15","81.90","79.48","81.00","19,536,500"
03/17/2023,"84.00","84.16","80.62","81.67","23,711,141"
03/16/2023,"81.46","82.48","80.66","82.22","22,922,971"
03/15/2023,"81.55","82.54","80.15","81.51","21,025,311"
03/14/2023,"82.86","83.91","82.16","83.85","20,126,119"
03/13/2023,"83.01","83.76","81.97","82.90","17,848,340"
03/10/2023,"82.64","84.52","82.33","82.96","18,123,070"
03/09/2023,"85.12","85.69","82.88","83.37","24,327,740"
03/08/2023,"87.39","87.77","86.45","86.95","14,721,540"
03/07/2023,"89.52","90.05","88.20","88.73","14,514,660"
03/06/2023,"89.59","91.30","88.03","89.62","16,983,869"
03/03/2023,"90.11","90.46","88.40","89.70","25,834,350"
03/02/2023,"88.96","90.92","87.97","89.75","25,691,770"
03/01/2023,"92.92","92.92","89.73","89.95","35,434,898"
02/28/2023,"88.46","89.34","87.27","87.79","24,597,160"
02/27/2023,"90.85","91.24","88.90","89.25","25,840,000"
02/24/2023,"90.07","91.68","88.03","89.00","36,174,520"
02/23/2023,"100.10","100.47","92.13","94.16","40,482,953"
02/22/2023,"95.58","95.89","93.55","94.78","24,484,020"
02/21/2023,"96.50","97.63","94.70","95.10","27,172,730"
02/17/2023,"101.00","101.09","99.25","100.01","18,121,641"
02/16/2023,"102.71","104.52","102.03","103.11","21,747,090"
02/15/2023,"102.39","103.44","102.00","103.08","18,910,240"
02/14/2023,"103.55","104.48","101.85","104.22","12,978,400"
02/13/2023,"105.99","106.35","104.15","104.79","17,577,830"
02/10/2023,"105.80","106.64","102.79","103.65","18,776,039"
02/09/2023,"108.50","109.81","107.75","108.46","16,281,300"
02/08/2023,"107.10","107.14","103.55","105.11","14,329,490"
02/07/2023,"106.84","107.35","103.72","105.50","16,861,660"
02/06/2023,"103.82","106.28","103.22","105.45","15,337,480"
02/03/2023,"108.05","109.53","105.81","106.33","15,982,160"
02/02/2023,"112.50","112.53","107.81","109.74","23,396,930"
02/01/2023,"111.86","113.95","110.15","112.82","16,623,000"
01/31/2023,"109.42","112.08","108.81","110.20","15,329,980"
01/30/2023,"111.69","113.15","109.78","111.20","21,918,221"
01/27/2023,"119.69","119.71","116.81","118.38","18,027,369"
01/26/2023,"121.00","121.30","118.76","120.57","11,170,980"
01/25/2023,"118.51","120.32","117.50","120.25","9,704,954"
01/24/2023,"115.00","120.00","115.00","119.44","7,807,114"
01/23/2023,"120.00","120.30","118.14","119.53","13,590,220"
01/20/2023,"118.30","120.06","117.80","119.86","18,342,689"
01/19/2023,"114.02","117.00","113.97","116.58","18,489,930"
01/18/2023,"116.75","116.75","113.04","113.22","15,347,920"
01/17/2023,"115.52","117.01","114.34","115.19","16,945,561"
01/13/2023,"114.52","117.98","114.09","117.01","25,615,109"
01/12/2023,"113.66","113.79","111.45","113.15","16,590,600"
01/11/2023,"114.60","115.21","112.31","115.02","22,804,410"
01/10/2023,"112.97","115.48","111.21","114.88","33,478,578"
01/09/2023,"111.99","113.11","108.12","110.83","42,085,273"
01/06/2023,"104.11","108.00","102.46","107.40","21,072,359"
01/05/2023,"101.40","105.70","100.64","104.58","30,400,381"
01/04/2023,"98.85","104.52","96.97","103.92","53,291,754"
01/03/2023,"91.11","94.45","90.75","91.98","27,891,039"
12/30/2022,"87.45","89.41","87.41","88.09","11,926,710"
12/29/2022,"87.63","89.52","87.06","89.13","12,535,410"
12/28/2022,"88.98","90.15","86.46","87.20","16,268,790"
12/27/2022,"86.55","90.69","86.21","89.86","22,959,939"
12/23/2022,"87.85","88.65","85.52","85.65","17,949,301"
12/22/2022,"89.08","89.69","86.67","87.97","16,004,790"
12/21/2022,"86.01","88.39","85.46","87.81","18,212,850"
12/20/2022,"85.04","87.20","85.04","85.92","15,315,430"
12/19/2022,"89.75","89.78","86.50","87.16","20,737,010"
12/16/2022,"88.80","90.57","86.61","86.79","25,084,561"
12/15/2022,"93.09","94.08","86.05","86.21","30,419,400"
12/14/2022,"91.06","91.27","89.50","90.91","15,575,490"
12/13/2022,"93.45","94.98","90.30","91.41","21,150,561"
12/12/2022,"90.09","90.89","87.75","89.41","15,190,210"
12/09/2022,"93.27","93.75","91.23","91.34","15,452,120"
12/08/2022,"91.97","94.34","91.08","94.17","29,241,461"
12/07/2022,"87.06","89.26","86.62","88.33","19,507,400"
12/06/2022,"91.88","92.57","89.20","91.45","26,675,730"
12/05/2022,"92.90","92.90","89.63","90.52","30,929,820"
12/02/2022,"86.05","91.85","86.05","90.06","35,042,633"
12/01/2022,"84.35","87.60","84.26","85.94","20,243,020"
11/30/2022,"82.74","89.63","82.25","87.56","60,169,609"
11/29/2022,"80.24","80.89","79.45","79.86","24,178,080"
11/28/2022,"74.74","77.42","74.68","75.88","19,119,391"
11/25/2022,"75.50","76.05","74.92","75.50","13,036,880"
11/23/2022,"78.19","78.85","76.85","78.50","19,032,680"
11/22/2022,"75.44","76.80","74.58","75.99","20,694,109"
11/21/2022,"78.69","79.06","76.47","76.93","19,005,150"
11/18/2022,"82.15","82.52","79.86","80.48","29,528,330"
11/17/2022,"76.00","85.68","75.76","84.26","62,050,578"
11/16/2022,"80.32","80.45","77.41","78.16","26,637,350"
11/15/2022,"78.93","80.37","77.81","79.30","53,150,488"
11/14/2022,"73.16","74.00","71.32","71.33","30,310,711"
11/11/2022,"72.32","72.70","69.31","70.77","38,723,359"
11/10/2022,"68.03","69.99","68.00","69.77","28,757,180"
11/09/2022,"66.43","66.78","64.80","64.84","22,099,340"
11/08/2022,"67.62","68.92","66.27","68.13","23,870,180"
11/07/2022,"71.30","71.88","68.67","69.71","26,087,641"
11/04/2022,"71.17","71.64","67.45","69.81","50,595,578"
11/03/2022,"63.42","66.88","63.40","65.21","23,360,520"
11/02/2022,"66.48","67.67","64.33","64.70","28,298,090"
11/01/2022,"68.01","68.45","65.64","65.86","27,257,000"
10/31/2022,"63.49","64.85","63.22","63.58","20,645,270"
10/28/2022,"63.20","64.15","61.82","63.74","28,638,000"
10/27/2022,"65.44","67.88","65.42","65.84","25,812,650"
10/26/2022,"63.36","69.80","62.92","68.51","53,063,312"
10/25/2022,"65.08","66.18","61.26","63.22","69,302,367"
10/24/2022,"63.39","64.10","58.01","63.15","101,023,203"
10/21/2022,"71.20","72.79","69.47","72.18","19,526,820"
10/20/2022,"71.60","74.94","71.55","72.02","19,173,391"
10/19/2022,"73.28","74.33","70.52","71.27","23,094,471"
10/18/2022,"78.01","78.64","75.06","76.34","14,970,560"
10/17/2022,"75.15","77.87","75.11","76.77","14,487,400"
10/14/2022,"76.05","76.14","72.78","73.02","13,697,590"
10/13/2022,"72.24","75.78","71.40","75.01","17,563,439"
10/12/2022,"74.90","76.68","74.03","75.73","13,247,870"
10/11/2022,"77.38","77.84","74.14","75.37","18,387,949"
10/10/2022,"79.77","79.79","77.70","79.24","14,070,870"
10/07/2022,"82.35","83.71","80.76","81.24","11,632,450"
10/06/2022,"84.07","85.25","83.52","84.32","11,583,630"
10/05/2022,"84.10","86.29","83.25","84.39","13,193,990"
10/04/2022,"83.00","85.03","82.34","84.11","18,251,990"
10/03/2022,"79.76","80.93","78.05","80.45","13,249,570"
09/30/2022,"78.74","81.78","78.65","79.99","17,116,869"
09/29/2022,"78.05","79.19","76.74","79.06","17,913,631"
09/28/2022,"76.49","81.48","76.28","80.99","20,725,410"
09/27/2022,"79.43","80.41","77.10","77.87","16,975,109"
09/26/2022,"79.94","80.99","78.78","78.91","17,880,570"
09/23/2022,"79.26","79.77","77.60","78.80","20,492,119"
09/22/2022,"82.63","83.28","80.17","80.71","19,141,221"
09/21/2022,"85.12","85.16","81.50","81.60","23,847,350"
09/20/2022,"87.95","88.73","85.01","85.80","19,129,020"
09/19/2022,"85.10","87.77","85.00","87.66","12,822,130"
09/16/2022,"87.70","88.25","85.42","86.43","18,751,510"
09/15/2022,"88.63","91.10","88.20","88.83","12,188,850"
09/14/2022,"89.46","89.78","88.17","88.92","10,843,630"
09/13/2022,"90.76","92.18","89.23","89.47","21,149,820"
09/12/2022,"92.42","94.84","91.81","94.69","15,604,000"
09/09/2022,"91.05","92.90","90.72","92.14","10,759,200"
09/08/2022,"88.56","90.18","88.28","89.52","13,291,750"
09/07/2022,"88.52","90.86","87.76","90.60","12,753,290"
09/06/2022,"89.32","89.47","87.80","88.45","15,573,460"
09/02/2022,"91.77","93.67","90.77","91.80","12,378,940"
09/01/2022,"92.75","94.52","91.67","93.71","11,929,080"
