Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,4458.0,4462.0,4410.5,4434.75,4434.75,1540416
2023-06-21,4430.25,4438.5,4403.5,4409.25,4409.25,1468258
2023-06-22,4410.0,4427.0,4393.0,4423.75,4423.75,1384002
2023-06-23,4425.75,4426.25,4381.5,4389.0,4389.0,1550992
2023-06-26,4390.0,4403.0,4368.5,4370.25,4370.25,1622416
2023-06-27,4375.75,4424.75,4371.5,4418.75,4418.75,1512256
2023-06-28,4414.0,4430.25,4399.25,4417.5,4417.5,1689461
2023-06-29,4423.75,4438.0,4409.75,4435.75,4435.75,1628750
2023-06-30,4435.25,4498.0,4433.0,4488.25,4488.25,1774940
2023-07-03,4485.5,4494.0,4479.5,4492.25,4492.25,641289
2023-07-05,4492.0,4493.75,4466.25,4483.75,4483.75,1193759
2023-07-06,4481.75,4483.5,4419.5,4447.0,4447.0,1741520
2023-07-07,4441.25,4476.0,4431.5,4434.0,4434.0,1691644
2023-07-10,4437.5,4448.25,4411.25,4444.25,4444.25,1361155
2023-07-11,4445.75,4478.5,4439.0,4473.5,4473.5,1340232
2023-07-12,4471.0,4523.75,4470.0,4507.5,4507.5,1784296
2023-07-13,4510.5,4551.5,4509.25,4543.5,4543.5,1158193
2023-07-14,4539.5,4560.5,4531.0,4536.75,4536.75,1381069
2023-07-17,4536.0,4565.75,4528.0,4553.75,4553.75,1057965
2023-07-18,4550.25,4594.5,4544.75,4587.75,4587.75,1301460
2023-07-19,4582.75,4609.25,4582.25,4597.0,4597.0,1538747
2023-07-20,4593.25,4594.25,4557.25,4565.5,4565.5,1527727
2023-07-21,4566.25,4590.0,4561.75,4564.75,4564.75,1432643
2023-07-24,4564.25,4592.5,4560.0,4583.5,4583.5,1203661
2023-07-25,4584.5,4608.75,4579.25,4596.0,4596.0,1219737
2023-07-26,4604.75,4610.75,4573.75,4595.25,4595.25,1372426
2023-07-27,4594.75,4634.5,4553.75,4564.25,4564.25,1924565
2023-07-28,4566.0,4616.5,4558.0,4606.5,4606.5,1573973
2023-07-31,4608.75,4619.25,4595.25,4614.5,4614.5,1299434
2023-08-01,4617.75,4621.75,4591.0,4601.25,4601.25,1212261
2023-08-02,4580.0,4593.5,4527.75,4537.25,4537.25,1917865
2023-08-03,4534.25,4547.5,4505.75,4521.75,4521.75,1764076
2023-08-04,4523.5,4560.75,4493.75,4498.0,4498.0,2044936
2023-08-07,4500.5,4541.75,4500.5,4537.75,4537.75,1397301
2023-08-08,4539.5,4541.0,4482.0,4518.5,4518.5,1696546
2023-08-09,4516.5,4536.25,4478.25,4485.75,4485.75,1640285
2023-08-10,4493.25,4544.75,4473.5,4485.75,4485.75,2227022
2023-08-11,4487.75,4496.25,4459.0,4480.75,4480.75,1511048
2023-08-14,4485.0,4507.75,4465.0,4506.0,4506.0,1277132
2023-08-15,4505.75,4517.75,4447.0,4454.0,4454.0,1492516
2023-08-16,4453.25,4467.25,4417.0,4420.0,4420.0,1499218
2023-08-17,4420.5,4436.75,4377.75,4384.5,4384.5,1630481
2023-08-18,4379.25,4396.0,4350.0,4382.75,4382.75,1746289
2023-08-21,4382.5,4421.0,4372.25,4412.5,4412.5,1361470
2023-08-22,4410.25,4440.0,4394.25,4399.25,4399.25,1375651
2023-08-23,4400.0,4476.25,4399.5,4447.0,4447.0,1306640
2023-08-24,4470.5,4485.5,4378.5,4386.0,4386.0,1783795
2023-08-25,4384.5,4429.0,4365.25,4414.25,4414.25,1853335
2023-08-28,4418.0,4449.5,4414.5,4442.25,4442.25,1266414
2023-08-29,4444.0,4509.5,4433.5,4506.75,4506.75,1444714
2023-08-30,4508.75,4530.75,4496.25,4524.25,4524.25,1397669
2023-08-31,4527.0,4541.25,4512.75,4516.0,4516.0,1395751
2023-09-01,4516.75,4547.75,4507.25,4521.5,4521.5,1416762
2023-09-05,4521.25,4531.25,4499.25,4502.5,4502.5,1391805
2023-09-06,4500.0,4503.75,4447.0,4471.5,4471.5,1600128
2023-09-07,4469.5,4471.75,4434.25,4456.25,4456.25,1602226
2023-09-08,4458.25,4477.5,4443.0,4461.75,4461.75,1686158
2023-09-11,4463.5,4493.5,4459.25,4490.25,4490.25,1714266
2023-09-12,4487.75,4491.0,4458.75,4465.0,4465.0,1153961
2023-09-13,4464.5,4481.0,4446.75,4468.75,4468.75,690872
2023-09-14,4471.75,4513.0,4470.25,4506.0,4506.0,454906
2023-09-15,4508.0,4517.75,4480.0,4491.72021484375,4491.72021484375,1825966
2023-09-18,4499.5,4514.5,4487.0,4501.5,4501.5,1155158
2023-09-19,4503.25,4509.5,4462.25,4490.0,4490.0,1422950
2023-09-20,4491.25,4508.0,4443.25,4447.0,4447.0,1482206
2023-09-21,4445.0,4447.0,4366.5,4372.0,4372.0,1998638
2023-09-22,4370.25,4399.0,4357.25,4361.0,4361.0,1736576
2023-09-25,4365.0,4383.5,4338.25,4378.75,4378.75,1561595
2023-09-26,4382.0,4382.0,4305.5,4314.75,4314.75,1758048
2023-09-27,4320.25,4336.5,4277.0,4313.5,4313.5,1965913
2023-09-28,4323.25,4355.75,4301.0,4337.5,4337.5,2012088
2023-09-29,4342.0,4371.25,4311.0,4325.5,4325.5,2106053
2023-10-02,4349.0,4355.5,4295.5,4324.25,4324.25,1950463
2023-10-03,4326.0,4335.75,4251.25,4264.75,4264.75,2256808
2023-10-04,4262.75,4304.0,4235.5,4297.75,4297.75,2168271
2023-10-05,4291.5,4302.0,4258.0,4290.75,4290.75,1673477
2023-10-06,4287.5,4358.5,4242.25,4341.5,4341.5,2216456
2023-10-09,4315.0,4375.75,4299.5,4368.75,4368.75,1485254
2023-10-10,4368.75,4419.0,4366.25,4391.5,4391.5,1610271
2023-10-11,4392.0,4419.75,4377.25,4409.75,4409.75,1489644
2023-10-12,4417.75,4430.5,4355.5,4380.5,4380.5,1881573
2023-10-13,4380.75,4407.75,4340.75,4357.25,4357.25,2159101
2023-10-16,4356.75,4414.25,4354.5,4401.0,4401.0,1668948
2023-10-17,4406.25,4423.25,4365.75,4401.75,4401.75,1879736
2023-10-18,4398.0,4399.25,4330.75,4342.25,4342.25,2271572
2023-10-19,4346.5,4366.5,4292.75,4303.0,4303.0,2741942
2023-10-20,4295.0,4304.25,4243.5,4248.5,4248.5,2328806
2023-10-23,4256.25,4280.75,4213.25,4241.75,4241.75,1963670
2023-10-24,4250.25,4290.5,4242.0,4271.25,4271.25,1807092
2023-10-25,4269.5,4273.5,4203.75,4209.75,4209.75,1981633
2023-10-26,4202.0,4205.0,4146.25,4156.5,4156.5,2419407
2023-10-27,4167.0,4185.0,4122.25,4137.75,4137.75,2195767
2023-10-30,4148.0,4197.5,4143.5,4185.75,4185.75,1904610
2023-10-31,4184.25,4215.0,4166.75,4212.25,4212.25,1836212
2023-11-01,4205.0,4264.75,4191.25,4256.0,4256.0,2027080
2023-11-02,4258.5,4339.75,4257.75,4335.75,4335.75,1819596
2023-11-03,4327.5,4391.75,4325.5,4376.0,4376.0,1803552
2023-11-06,4379.25,4389.5,4364.25,4384.25,4384.25,1348878
2023-11-07,4380.0,4403.25,4366.0,4396.0,4396.0,1371257
2023-11-08,4397.5,4407.75,4375.0,4399.5,4399.5,1390288
2023-11-09,4393.25,4413.0,4357.75,4362.25,4362.25,1972630
2023-11-10,4364.5,4435.5,4354.25,4430.5,4430.5,1752002
2023-11-13,4425.75,4436.75,4407.25,4425.25,4425.25,1276182
2023-11-14,4427.25,4524.25,4420.25,4511.0,4511.0,1901847
2023-11-15,4515.5,4541.25,4510.75,4519.25,4519.25,1573452
2023-11-16,4514.25,4529.5,4501.75,4523.25,4523.25,1491734
2023-11-17,4527.75,4539.5,4512.75,4527.5,4527.5,1331912
2023-11-20,4526.75,4571.0,4520.0,4562.25,4562.25,1220790
2023-11-21,4561.75,4567.0,4536.75,4551.25,4551.25,1101669
2023-11-22,4547.75,4580.5,4543.0,4567.25,4567.25,1403636
2023-11-23,4564.0,4572.75,4562.0,4569.5,4569.5,1403636
2023-11-24,4564.0,4574.0,4562.0,4568.25,4568.25,572702
2023-11-27,4568.5,4570.0,4552.0,4561.0,4561.0,1124213
2023-11-28,4561.5,4577.25,4547.0,4563.0,4563.0,1441119
2023-11-29,4564.0,4597.0,4555.5,4559.25,4559.25,1592398
2023-11-30,4562.25,4579.5,4544.75,4576.75,4576.75,2056268
2023-12-01,4571.75,4607.75,4562.5,4600.75,4600.75,1914151
2023-12-04,4603.25,4604.5,4553.5,4576.5,4576.5,1818991
2023-12-05,4573.0,4585.5,4555.5,4575.0,4575.0,1890825
2023-12-06,4573.25,4598.5,4552.0,4556.0,4556.0,1837961
2023-12-07,4556.0,4596.0,4548.75,4589.5,4589.5,1832361
2023-12-08,4586.5,4613.75,4561.75,4607.5,4607.5,2289425
2023-12-11,4607.75,4627.25,4599.5,4626.0,4626.0,1663229
2023-12-12,4625.0,4649.75,4610.5,4645.75,4645.75,1052077
2023-12-13,4649.0,4711.75,4645.0,4708.25,4708.25,739684
2023-12-14,4708.0,4739.25,4694.25,4721.75,4721.75,560819
2023-12-15,4716.0,4736.5,4694.27001953125,4694.27001953125,4694.27001953125,1801823
2023-12-18,4770.5,4802.25,4769.5,4793.0,4793.0,1139029
2023-12-19,4790.5,4821.5,4787.75,4820.25,4820.25,1122973
2023-12-20,4818.5,4830.75,4743.25,4749.75,4749.75,1749145
2023-12-21,4751.0,4798.25,4751.0,4796.75,4796.75,1687065
2023-12-22,4795.75,4821.75,4784.75,4805.25,4805.25,1326697
2023-12-26,4800.25,4834.5,4800.25,4825.0,4825.0,688201
2023-12-27,4827.75,4836.5,4816.5,4833.5,4833.5,1042284
2023-12-28,4834.5,4841.5,4828.0,4832.25,4832.25,927035
2023-12-29,4834.75,4841.0,4796.75,4820.0,4820.0,1281733
2024-01-02,4818.0,4828.0,4765.5,4787.25,4787.25,1678142
2024-01-03,4790.75,4790.75,4741.0,4746.5,4746.5,1707174
2024-01-04,4750.0,4766.5,4727.0,4729.5,4729.5,1395366
2024-01-05,4732.75,4760.25,4702.0,4734.75,4734.75,1767245
2024-01-08,4735.75,4803.25,4715.25,4801.25,4801.25,1417728
2024-01-09,4797.75,4804.0,4767.5,4792.75,4792.75,1369103
2024-01-10,4790.75,4828.5,4786.0,4820.25,4820.25,1377780
2024-01-11,4820.5,4838.0,4772.75,4815.5,4815.5,1795564
2024-01-12,4811.25,4836.5,4791.5,4816.5,4816.5,1519899
2024-01-16,4812.0,4823.0,4779.5,4798.5,4798.5,1905532
2024-01-17,4799.75,4800.75,4746.25,4771.25,4771.25,1663328
2024-01-18,4768.0,4817.0,4763.5,4811.25,4811.25,1746936
2024-01-19,4811.25,4874.25,4808.5,4869.5,4869.5,1876757
2024-01-22,4872.5,4898.25,4872.5,4881.0,4881.0,1356050
2024-01-23,4881.75,4902.0,4874.25,4895.0,4895.0,1130749
2024-01-24,4900.25,4933.25,4889.0,4898.0,4898.0,1586824
2024-01-25,4899.5,4926.5,4893.25,4923.25,4923.25,1532026
2024-01-26,4919.25,4934.25,4898.5,4916.25,4916.25,1363612
2024-01-29,4908.75,4956.0,4901.75,4954.5,4954.5,1197989
2024-01-30,4950.25,4957.25,4933.0,4951.0,4951.0,1157425
2024-01-31,4930.25,4938.0,4866.0,4870.5,4870.5,2285993
2024-02-01,4874.5,4963.75,4872.5,4928.5,4928.5,1835510
2024-02-02,4952.75,4997.75,4925.75,4980.25,4980.25,1957796
2024-02-05,4976.0,4980.75,4937.75,4962.0,4962.0,1504676
2024-02-06,4959.5,4978.25,4954.5,4974.75,4974.75,1267419
2024-02-07,4971.5,5020.0,4970.0,5015.25,5015.25,1336172
2024-02-08,5015.75,5020.0,5003.75,5017.75,5017.75,997431
2024-02-09,5014.5,5048.5,5013.0,5044.0,5044.0,1212336
2024-02-12,5042.5,5066.5,5031.5,5041.25,5041.25,1141487
2024-02-13,5034.0,5040.0,4936.5,4971.25,4971.25,2112726
2024-02-14,4974.25,5022.5,4968.75,5018.0,5018.0,1632071
2024-02-15,5017.5,5051.75,5011.0,5046.5,5046.5,1361757
2024-02-16,5049.5,5059.25,5012.75,5019.75,5019.75,1527729
2024-02-20,5016.5,5029.5,4968.25,4991.5,4991.5,1609827
2024-02-21,4990.0,5020.5,4959.0,4996.25,4996.25,1485687
2024-02-22,5016.0,5107.75,5015.25,5097.75,5097.75,1738869
2024-02-23,5094.25,5123.5,5092.0,5101.5,5101.5,1340050
2024-02-26,5095.0,5108.0,5076.25,5080.25,5080.25,1094682
2024-02-27,5077.5,5093.0,5067.0,5090.0,5090.0,1026819
2024-02-28,5090.75,5091.25,5063.25,5081.0,5081.0,1201011
2024-02-29,5072.0,5114.5,5060.0,5103.75,5103.75,1790702
2024-03-01,5101.5,5149.25,5089.25,5146.0,5146.0,1597331
2024-03-04,5142.0,5157.75,5132.0,5138.25,5138.25,1208040
2024-03-05,5133.75,5135.5,5063.0,5085.75,5085.75,1885769
2024-03-06,5091.0,5134.5,5083.75,5111.75,5111.75,1996223
2024-03-07,5114.25,5170.5,5086.5,5161.75,5161.75,1791666
2024-03-08,5159.25,5193.0,5121.75,5129.0,5129.0,2786680
2024-03-11,5132.5,5133.25,5094.75,5123.0,5123.0,1840000
2024-03-12,5129.0,5183.0,5112.75,5177.25,5177.25,1211911
2024-03-13,5176.0,5183.75,5153.0,5168.0,5168.0,540170
2024-03-14,5171.5,5189.5,5124.25,5153.75,5153.75,476074
2024-03-15,5152.25,5167.0,5101.669921875,5101.669921875,5101.669921875,1927775
2024-03-18,5185.75,5240.25,5181.75,5214.75,5214.75,1377276
2024-03-19,5215.25,5244.75,5186.0,5241.75,5241.75,1440289
2024-03-20,5239.75,5297.75,5233.0,5286.75,5286.75,1404974
2024-03-21,5294.75,5322.75,5293.5,5302.5,5302.5,1326994
2024-03-22,5306.75,5311.75,5287.75,5293.25,5293.25,1162606
2024-03-25,5290.5,5295.0,5272.5,5278.25,5278.25,920608
2024-03-26,5280.75,5300.5,5263.0,5265.25,5265.25,1092706
2024-03-27,5273.25,5313.75,5270.75,5308.25,5308.25,1487671
2024-03-28,5308.0,5321.0,5301.0,5308.5,5308.5,1317836
2024-04-01,5314.25,5333.5,5282.25,5295.25,5295.25,1125234
2024-04-02,5294.5,5296.0,5235.0,5260.5,5260.5,1426691
2024-04-03,5262.5,5280.75,5244.5,5266.5,5266.5,1402981
2024-04-04,5270.75,5308.5,5192.5,5197.25,5197.25,1941274
2024-04-05,5199.75,5272.5,5191.5,5253.0,5253.0,1908306
2024-04-08,5263.25,5269.25,5236.5,5253.25,5253.25,1167648
2024-04-09,5258.0,5274.25,5208.25,5260.25,5260.25,1651973
2024-04-10,5264.25,5285.0,5176.5,5207.75,5207.75,2369864
2024-04-11,5202.0,5257.5,5173.5,5243.25,5243.25,1762470
2024-04-12,5244.0,5248.75,5150.0,5167.5,5167.5,2005106
2024-04-15,5166.5,5213.25,5094.0,5104.0,5104.0,2226105
2024-04-16,5101.25,5123.25,5078.75,5092.5,5092.5,2098015
2024-04-17,5096.25,5120.5,5047.0,5062.25,5062.25,1928645
2024-04-18,5063.0,5095.25,5038.5,5049.0,5049.0,1701401
2024-04-19,5047.25,5058.0,4963.5,5003.75,5003.75,2357143
2024-04-22,5014.25,5076.75,5006.0,5047.5,5047.5,1584393
2024-04-23,5051.0,5113.5,5037.75,5106.5,5106.5,1357493
2024-04-24,5115.25,5128.75,5072.25,5107.5,5107.5,1512469
2024-04-25,5070.0,5132.75,5022.25,5082.25,5082.25,1887635
2024-04-26,5132.0,5146.5,5104.5,5131.5,5131.5,1455855
2024-04-29,5140.25,5154.25,5118.75,5147.0,5147.0,1163440
2024-04-30,5148.5,5148.5,5051.0,5067.0,5067.0,1675335
2024-05-01,5050.0,5126.75,5037.75,5046.5,5046.5,1955160
2024-05-02,5057.0,5113.0,5036.25,5091.5,5091.5,1573131
2024-05-03,5110.25,5166.75,5099.25,5154.75,5154.75,1604172
2024-05-06,5166.75,5207.75,5155.75,5206.5,5206.5,1019307
2024-05-07,5204.75,5226.75,5202.25,5213.75,5213.75,1106457
2024-05-08,5211.75,5218.0,5188.75,5212.75,5212.75,1013418
2024-05-09,5209.25,5244.75,5195.0,5239.0,5239.0,1094931
2024-05-10,5240.75,5264.0,5232.75,5246.25,5246.25,1112925
2024-05-13,5240.5,5264.0,5233.25,5245.5,5245.5,922763
2024-05-14,5241.75,5274.25,5216.75,5269.5,5269.5,1252615
2024-05-15,5268.5,5337.25,5266.25,5333.0,5333.0,1391029
2024-05-16,5331.5,5349.0,5315.5,5320.25,5320.25,1207843
2024-05-17,5318.25,5328.75,5305.75,5327.25,5327.25,1052765
2024-05-20,5329.25,5348.25,5323.75,5331.75,5331.75,1031456
2024-05-21,5331.75,5347.5,5322.5,5345.25,5345.25,1011849
2024-05-22,5343.5,5349.25,5306.75,5328.0,5328.0,1257477
2024-05-23,5339.0,5368.25,5273.5,5285.25,5285.25,2012153
2024-05-24,5285.75,5329.25,5285.75,5321.5,5321.5,1264244
2024-05-28,5321.75,5339.0,5296.75,5324.75,5324.75,1387872
2024-05-29,5323.75,5324.0,5268.25,5284.0,5284.0,1445855
2024-05-30,5270.5,5277.0,5238.25,5253.0,5253.0,1495148
2024-05-31,5250.5,5307.0,5205.5,5295.5,5295.5,2452894
2024-06-03,5299.5,5313.25,5246.75,5297.25,5297.25,1785532
2024-06-04,5300.25,5312.25,5262.0,5304.0,5304.0,1679093
2024-06-05,5305.0,5368.25,5302.5,5366.0,5366.0,1450596
2024-06-06,5367.75,5373.25,5345.25,5364.0,5364.0,1228240
2024-06-07,5362.0,5385.5,5329.0,5355.75,5355.75,1591439
2024-06-10,5351.5,5375.75,5338.25,5371.25,5371.25,1185881
2024-06-11,5369.75,5386.25,5334.5,5384.0,5384.0,1413433
2024-06-12,5384.5,5454.5,5380.0,5427.5,5427.5,1899786
2024-06-13,5436.25,5452.75,5408.5,5438.5,5438.5,1682858
2024-06-14,5436.0,5443.0,5397.75,5437.5,5437.5,1682858
